hour,JYB1_runtime_h,JYB1_power_kW,JYB1_energy_kWh,JYB1_carbon_kg,JYB2_runtime_h,JYB2_power_kW,JYB2_energy_kWh,JYB2_carbon_kg,JYB3_runtime_h,JYB3_power_kW,JYB3_energy_kWh,JYB3_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0
2025-07-31 00:00:00+00:00,0.0,228.4,0.0,0.0,0.0,228.4,0.0,0.0,0.0,228.4,0.0,0.0,0.0,0.0
2025-08-31 00:00:00+00:00,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,0.0
2025-09-30 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0
2025-10-31 00:00:00+00:00,0.0,288.8,0.0,0.0,0.0,288.8,0.0,0.0,0.0,288.8,0.0,0.0,0.0,0.0
2025-11-30 00:00:00+00:00,0.0,268.8,0.0,0.0,0.0,268.8,0.0,0.0,0.0,268.8,0.0,0.0,0.0,0.0
2025-12-31 00:00:00+00:00,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,0.0
2026-01-31 00:00:00+00:00,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,0.0
2026-02-28 00:00:00+00:00,0.0,268.8,0.0,0.0,0.0,268.8,0.0,0.0,0.0,268.8,0.0,0.0,0.0,0.0
2026-03-31 00:00:00+00:00,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,0.0
2026-04-30 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0
2026-05-31 00:00:00+00:00,0.0,96.8,0.0,0.0,0.0,96.8,0.0,0.0,0.0,96.8,0.0,0.0,0.0,0.0
