period_start,process_stage,process_unit,electric_carbon_kg,chemical_carbon_kg,unit_total_carbon_kg,stage_total_carbon_kg,plant_total_carbon_kg,unit_share_within_stage,unit_share_of_plant
2025-06-30 00:00:00+00:00,02_供水段,清水处理_送水泵房,30421.7449135453,0.0,30421.7449135453,30421.7449135453,474296.7328938663,1.0,0.0641407431333767
2025-07-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,28625.22843413323,0.0,28625.22843413323,28625.22843413323,343691.86097418,1.0,0.0832874783621475
2025-08-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,22659.19012254625,0.0,22659.19012254625,22659.19012254625,448305.6030836539,1.0,0.0505440707559437
2025-09-30 00:00:00+00:00,02_供水段,清水处理_送水泵房,15353.162976287713,0.0,15353.162976287713,15353.162976287713,453432.3430816798,1.0,0.0338598761436875
2025-10-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,1699.5008526818,0.0,1699.5008526818,1699.5008526818,381164.70637247065,1.0,0.004458704660397
2025-11-30 00:00:00+00:00,02_供水段,清水处理_送水泵房,0.0,0.0,0.0,0.0,391272.5898117852,,0.0
2025-12-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,118652.0441426663,0.0,118652.0441426663,118652.0441426663,603179.6753655607,1.0,0.1967109453261277
2026-01-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,69288.1691096084,0.0,69288.1691096084,69288.1691096084,484231.409960511,1.0,0.1430889605349203
2026-02-28 00:00:00+00:00,02_供水段,清水处理_送水泵房,9478.24384593555,0.0,9478.24384593555,9478.24384593555,287859.30099399603,1.0,0.0329266548386888
2026-03-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,37320.725396879054,0.0,37320.725396879054,37320.725396879054,566242.582195959,1.0,0.0659094292275664
2026-04-30 00:00:00+00:00,02_供水段,清水处理_送水泵房,37091.7836528645,0.0,37091.7836528645,37091.7836528645,460289.082408887,1.0,0.0805836702855248
2026-05-31 00:00:00+00:00,02_供水段,清水处理_送水泵房,18862.9316779981,0.0,18862.9316779981,18862.9316779981,137916.04252843573,1.0,0.1367711205468277
