summary_period,source_file,summary_level,process_stage,process_unit,row_count,start_time,end_time,electric_carbon_kg_sum,chemical_carbon_kg_sum,unit_total_carbon_kg_sum,stage_total_carbon_kg_latest,plant_total_carbon_kg_latest,unit_share_within_stage_avg,unit_share_of_plant_avg
latest_24h_hourly,hourly.csv,detail,06_深度处理,深度处理_主臭氧接触池,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.9487800000000002,597.383411888,0.0,0.0
latest_24h_hourly,hourly.csv,detail,06_深度处理,深度处理_次氯酸钠投加间,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,22.131172000000003,0.0,22.131172000000003,0.9487800000000002,597.383411888,1.0,0.0019399203669421834
latest_24h_hourly,hourly.csv,total,TOTAL,TOTAL,48,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,22.131172000000003,0.0,22.131172000000003,0.9487800000000002,597.383411888,0.5,0.0009699601834710917
latest_7d_daily,daily.csv,detail,06_深度处理,深度处理_主臭氧接触池,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,1.9045880000000004,1210.7864289749334,0.0,0.0
latest_7d_daily,daily.csv,detail,06_深度处理,深度处理_次氯酸钠投加间,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,134.50537799999998,0.0,134.50537799999998,1.9045880000000004,1210.7864289749334,1.0,0.0016721000144175858
latest_7d_daily,daily.csv,total,TOTAL,TOTAL,14,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,134.50537799999998,0.0,134.50537799999998,1.9045880000000004,1210.7864289749334,0.5,0.0008360500072087929
latest_5w_weekly,weekly.csv,detail,06_深度处理,深度处理_主臭氧接触池,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,0.0,0.0,1.9045880000000004,1210.7864289749334,0.0,0.0
latest_5w_weekly,weekly.csv,detail,06_深度处理,深度处理_次氯酸钠投加间,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,616.123676,0.0,616.123676,1.9045880000000004,1210.7864289749334,1.0,0.0016169010780936002
latest_5w_weekly,weekly.csv,total,TOTAL,TOTAL,10,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,616.123676,0.0,616.123676,1.9045880000000004,1210.7864289749334,0.5,0.0008084505390468001
latest_12m_monthly,monthly.csv,detail,06_深度处理,深度处理_主臭氧接触池,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,7647.132498307141,7647.132498307141,216.90165000000005,137916.04252843573,0.014661627764767033,0.0013723320809102167
latest_12m_monthly,monthly.csv,detail,06_深度处理,深度处理_次氯酸钠投加间,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,6368.601330863228,332936.38087867823,339304.9822095415,216.90165000000005,137916.04252843573,0.985338372235233,0.06105757810562381
latest_12m_monthly,monthly.csv,total,TOTAL,TOTAL,24,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,6368.601330863228,340583.5133769853,346952.11470784864,216.90165000000005,137916.04252843573,0.5,0.03121495509326701
