period_start,process_stage,process_unit,electric_carbon_kg,chemical_carbon_kg,unit_total_carbon_kg,stage_total_carbon_kg,plant_total_carbon_kg,unit_share_within_stage,unit_share_of_plant
2026-04-19 00:00:00+00:00,07_污泥处理,污泥处理_污泥泵房,56.43484,0.0,56.43484,56.43484,82710.2062251099,1.0,0.0006823201461546
2026-04-19 00:00:00+00:00,07_污泥处理,污泥处理_回收水池,0.0,0.0,0.0,56.43484,82710.2062251099,0.0,0.0
2026-04-19 00:00:00+00:00,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,0.0,0.0,0.0,56.43484,82710.2062251099,0.0,0.0
2026-04-26 00:00:00+00:00,07_污泥处理,污泥处理_回收水池,0.0,0.0,0.0,0.0,97695.33178887988,,0.0
2026-04-26 00:00:00+00:00,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,0.0,0.0,0.0,0.0,97695.33178887988,,0.0
2026-04-26 00:00:00+00:00,07_污泥处理,污泥处理_污泥泵房,0.0,0.0,0.0,0.0,97695.33178887988,,0.0
2026-05-03 00:00:00+00:00,07_污泥处理,污泥处理_回收水池,0.0,0.0,0.0,0.0,105754.256211149,,0.0
2026-05-03 00:00:00+00:00,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,0.0,0.0,0.0,0.0,105754.256211149,,0.0
2026-05-03 00:00:00+00:00,07_污泥处理,污泥处理_污泥泵房,0.0,0.0,0.0,0.0,105754.256211149,,0.0
2026-05-10 00:00:00+00:00,07_污泥处理,污泥处理_回收水池,0.0,0.0,0.0,0.0,94759.83031545082,,0.0
2026-05-10 00:00:00+00:00,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,0.0,0.0,0.0,0.0,94759.83031545082,,0.0
2026-05-10 00:00:00+00:00,07_污泥处理,污泥处理_污泥泵房,0.0,0.0,0.0,0.0,94759.83031545082,,0.0
2026-05-17 00:00:00+00:00,07_污泥处理,污泥处理_回收水池,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
2026-05-17 00:00:00+00:00,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
2026-05-17 00:00:00+00:00,07_污泥处理,污泥处理_污泥泵房,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
