summary_period,source_file,summary_level,process_stage,process_unit,row_count,start_time,end_time,electric_carbon_kg_sum,chemical_carbon_kg_sum,unit_total_carbon_kg_sum,stage_total_carbon_kg_latest,plant_total_carbon_kg_latest,unit_share_within_stage_avg,unit_share_of_plant_avg
latest_24h_hourly,hourly.csv,detail,07_污泥处理,污泥处理_回收水池,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,597.383411888,,0.0
latest_24h_hourly,hourly.csv,detail,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,597.383411888,,0.0
latest_24h_hourly,hourly.csv,detail,07_污泥处理,污泥处理_污泥泵房,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,597.383411888,,0.0
latest_24h_hourly,hourly.csv,total,TOTAL,TOTAL,72,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,597.383411888,,0.0
latest_7d_daily,daily.csv,detail,07_污泥处理,污泥处理_回收水池,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
latest_7d_daily,daily.csv,detail,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
latest_7d_daily,daily.csv,detail,07_污泥处理,污泥处理_污泥泵房,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
latest_7d_daily,daily.csv,total,TOTAL,TOTAL,21,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,,0.0
latest_5w_weekly,weekly.csv,detail,07_污泥处理,污泥处理_回收水池,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,0.0,0.0
latest_5w_weekly,weekly.csv,detail,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,0.0,0.0,0.0,1210.7864289749334,0.0,0.0
latest_5w_weekly,weekly.csv,detail,07_污泥处理,污泥处理_污泥泵房,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,56.43484,0.0,56.43484,0.0,1210.7864289749334,1.0,0.00013646402923092
latest_5w_weekly,weekly.csv,total,TOTAL,TOTAL,15,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,56.43484,0.0,56.43484,0.0,1210.7864289749334,0.3333333333333333,4.548800974364e-05
latest_12m_monthly,monthly.csv,detail,07_污泥处理,污泥处理_回收水池,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,137916.04252843573,0.0,0.0
latest_12m_monthly,monthly.csv,detail,07_污泥处理,污泥处理_污泥PAM投加间、脱水间,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,56480.50240871368,56480.50240871368,0.0,137916.04252843573,0.3923718000604402,0.01028608494982575
latest_12m_monthly,monthly.csv,detail,07_污泥处理,污泥处理_污泥泵房,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,2638.7797333333333,0.0,2638.7797333333333,0.0,137916.04252843573,0.6076281999395597,0.0004687916983404479
latest_12m_monthly,monthly.csv,detail,07_污泥处理,污泥处理_污泥调节池,5,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,0.0,0.0,0.9019266666666668,381164.70637247065,0.0,0.0
latest_12m_monthly,monthly.csv,total,TOTAL,TOTAL,41,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,2638.7797333333333,56480.50240871368,59119.28214204701,0.0,137916.04252843573,0.2777777777777778,0.0031477687750730335
