hour,A_actual_ozone_t_h,A_actual_ozone_kg,A_leak_rate,A_ozone_leak_kg,A_carbon_kgCO2e,B_phase2_AI9_leak_ppm,B_phase2_AI9_leak_mg_m3,B_phase2_AI9_exhaust_flow_m3_h,B_phase2_AI9_ozone_leak_kg,B_phase2_AI9_carbon_kgCO2e,B_phase2_AI33_leak_ppm,B_phase2_AI33_leak_mg_m3,B_phase2_AI33_exhaust_flow_m3_h,B_phase2_AI33_ozone_leak_kg,B_phase2_AI33_carbon_kgCO2e,B_total_ozone_leak_kg,B_total_carbon_kgCO2e,unit_total_chemical_kg,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,1.883333333333333e-05,4.030333333333333e-05,10000,4.030333333333333e-07,1.6121333333333332e-08,4.993333333333333e-07,1.997333333333333e-08,0.9120004993333332,0.0364800199733333
2026-05-10 03:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,2.6e-05,5.564e-05,10000,5.564e-07,2.2256e-08,6.527e-07,2.6108e-08,0.9120006527,0.036480026108
2026-05-10 04:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,1.8e-05,3.852e-05,10000,3.8520000000000003e-07,1.5408e-08,4.173e-07,1.6692e-08,0.9120004173,0.0364800166919999
2026-05-10 05:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,2.5166666666666667e-05,5.385666666666667e-05,10000,5.385666666666666e-07,2.1542666666666664e-08,6.348666666666666e-07,2.5394666666666664e-08,0.9120006348666666,0.0364800253946666
2026-05-10 06:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,2.166666666666667e-05,4.636666666666668e-05,10000,4.636666666666668e-07,1.854666666666667e-08,5.599666666666668e-07,2.239866666666667e-08,0.9120005599666666,0.0364800223986666
2026-05-10 07:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,2.0666666666666663e-05,4.422666666666667e-05,10000,4.422666666666667e-07,1.7690666666666667e-08,5.064666666666667e-07,2.0258666666666667e-08,0.9120005064666666,0.0364800202586666
2026-05-10 08:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,2.3000000000000003e-05,4.922000000000001e-05,10000,4.922000000000001e-07,1.9688000000000007e-08,5.885000000000002e-07,2.3540000000000008e-08,0.9120005885,0.0364800235399999
2026-05-10 09:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,2.65e-05,5.671e-05,10000,5.671e-07,2.2684000000000003e-08,6.634000000000001e-07,2.6536000000000003e-08,0.9120006634,0.036480026536
2026-05-10 10:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,1.616666666666667e-05,3.4596666666666674e-05,10000,3.459666666666668e-07,1.3838666666666671e-08,4.101666666666668e-07,1.640666666666667e-08,0.9120004101666666,0.0364800164066666
2026-05-10 11:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.1e-05,4.494000000000001e-05,10000,4.494000000000001e-07,1.7976000000000005e-08,4.815000000000001e-07,1.9260000000000005e-08,0.9120004815,0.0364800192599999
2026-05-10 12:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,2.6833333333333336e-05,5.742333333333334e-05,10000,5.742333333333335e-07,2.2969333333333338e-08,6.384333333333335e-07,2.5537333333333335e-08,0.9120006384333332,0.0364800255373333
2026-05-10 13:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.116666666666667e-05,4.529666666666668e-05,10000,4.5296666666666685e-07,1.8118666666666672e-08,4.850666666666667e-07,1.9402666666666672e-08,0.9120004850666664,0.0364800194026666
2026-05-10 14:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,2.2166666666666666e-05,4.7436666666666666e-05,10000,4.7436666666666666e-07,1.8974666666666667e-08,5.385666666666666e-07,2.1542666666666667e-08,0.9120005385666666,0.0364800215426666
2026-05-10 15:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.6666666666666667e-05,5.706666666666667e-05,10000,5.706666666666667e-07,2.2826666666666667e-08,6.027666666666667e-07,2.4110666666666667e-08,0.9120006027666666,0.0364800241106666
2026-05-10 16:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,2.133333333333333e-05,4.565333333333334e-05,10000,4.565333333333334e-07,1.8261333333333336e-08,5.207333333333334e-07,2.0829333333333337e-08,0.9120005207333332,0.0364800208293333
2026-05-10 17:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.65e-05,5.671e-05,10000,5.671e-07,2.2684000000000003e-08,5.992e-07,2.3968000000000003e-08,0.9120005992,0.036480023968
2026-05-10 18:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.25e-05,4.8150000000000005e-05,10000,4.815000000000001e-07,1.9260000000000002e-08,5.136e-07,2.0544000000000002e-08,0.9120005136,0.036480020544
2026-05-10 19:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,3.0333333333333333e-05,6.491333333333334e-05,10000,6.491333333333335e-07,2.5965333333333344e-08,6.812333333333334e-07,2.7249333333333344e-08,0.9120006812333332,0.0364800272493333
2026-05-10 20:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,3e-06,6.42e-06,10000,6.42e-08,2.568e-09,2.1833333333333333e-05,4.672333333333333e-05,10000,4.672333333333334e-07,1.8689333333333332e-08,5.314333333333333e-07,2.1257333333333336e-08,0.9120005314333332,0.0364800212573333
2026-05-10 21:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.7833333333333333e-05,5.956333333333334e-05,10000,5.956333333333334e-07,2.3825333333333336e-08,6.277333333333333e-07,2.5109333333333336e-08,0.9120006277333332,0.0364800251093333
2026-05-10 22:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,1.5e-06,3.21e-06,10000,3.21e-08,1.284e-09,2.2666666666666668e-05,4.8506666666666674e-05,10000,4.850666666666667e-07,1.9402666666666672e-08,5.171666666666667e-07,2.0686666666666673e-08,0.9120005171666666,0.0364800206866666
2026-05-10 23:00:00+00:00,0.01824,18.24,0.05,0.912,0.03648,4.5e-06,9.63e-06,10000,9.630000000000001e-08,3.852e-09,3.05e-05,6.527e-05,10000,6.527e-07,2.6108e-08,7.49e-07,2.996e-08,0.912000749,0.03648002996
