period_start,chemical_total_kg,chemical_carbon_kg,sludge_transport_t,sludge_solid_rate,sludge_transport_distance_km,sludge_transport_carbon_kg,scope3_total_carbon_kg,chemical_share_of_scope3,sludge_transport_share_of_scope3
2026-05-10 02:00:00+00:00,5.843323818333333,3.2247272437333336,0,0,0,0,3.2247272437333336,1.0,0.0
2026-05-10 03:00:00+00:00,5.91626403,3.2714089792000003,0,0,0,0,3.2714089792000003,1.0,0.0
2026-05-10 04:00:00+00:00,4.511314556666667,2.5160121496000003,0,0,0,0,2.5160121496000003,1.0,0.0
2026-05-10 05:00:00+00:00,1.4520507733333332,0.8670833282666668,0,0,0,0,0.8670833282666668,1.0,0.0
2026-05-10 06:00:00+00:00,5.232637426666667,2.8939712864,0,0,0,0,2.8939712864,1.0,0.0
2026-05-10 07:00:00+00:00,5.739157151666666,3.168789743733334,0,0,0,0,3.168789743733334,1.0,0.0
2026-05-10 08:00:00+00:00,5.852442176666667,3.2305629930666666,0,0,0,0,3.2305629930666666,1.0,0.0
2026-05-10 09:00:00+00:00,5.925381783333333,3.2772443413333336,0,0,0,0,3.2772443413333336,1.0,0.0
2026-05-10 10:00:00+00:00,5.834206871666667,3.2188923978666666,0,0,0,0,3.2188923978666666,1.0,0.0
2026-05-10 11:00:00+00:00,6.048470445,3.3560210848,0,0,0,0,3.3560210848,1.0,0.0
2026-05-10 12:00:00+00:00,5.793177385,3.1926335264,0,0,0,0,3.1926335264,1.0,0.0
2026-05-10 13:00:00+00:00,5.8478828966666665,3.2276450538666666,0,0,0,0,3.2276450538666666,1.0,0.0
2026-05-10 14:00:00+00:00,5.929941063333333,3.2801622805333333,0,0,0,0,3.2801622805333333,1.0,0.0
2026-05-10 15:00:00+00:00,5.82508932,3.2130571648,0,0,0,0,3.2130571648,1.0,0.0
2026-05-10 16:00:00+00:00,5.8615595266666665,3.2363980970666666,0,0,0,0,3.2363980970666666,1.0,0.0
2026-05-10 17:00:00+00:00,5.784059026666666,3.186797777066667,0,0,0,0,3.186797777066667,1.0,0.0
2026-05-10 18:00:00+00:00,5.82508932,3.2130571648,0,0,0,0,3.2130571648,1.0,0.0
2026-05-10 19:00:00+00:00,5.861558921666667,3.236397709866667,0,0,0,0,3.236397709866667,1.0,0.0
2026-05-10 20:00:00+00:00,5.5464600866666665,3.0690677888,0,0,0,0,3.0690677888,1.0,0.0
2026-05-10 21:00:00+00:00,5.381755478333334,2.982969339466667,0,0,0,0,2.982969339466667,1.0,0.0
2026-05-10 22:00:00+00:00,5.8478828966666665,3.2276450538666666,0,0,0,0,3.2276450538666666,1.0,0.0
2026-05-10 23:00:00+00:00,5.875236761666667,3.2451515274666667,0,0,0,0,3.2451515274666667,1.0,0.0
2026-05-11 00:00:00+00:00,4.332931906666667,2.4211597536000005,0,0,0,0,2.4211597536000005,1.0,0.0
2026-05-11 01:00:00+00:00,6.08494045,3.379361888,0,0,0,0,3.379361888,1.0,0.0
