chemical_type,period_start,total_chemical_kg,total_carbon_kg,plant_total_carbon_kg,chemical_share_of_total
NaClO,2025-06-30 00:00:00+00:00,151636.14616604126,97047.1335462664,151444.67479579433,0.6408091514417609
PAM,2025-06-30 00:00:00+00:00,15707.891929297388,51050.64877021651,151444.67479579433,0.3370910785674862
O3,2025-06-30 00:00:00+00:00,7413.6974819157695,2075.8352949364157,151444.67479579433,0.0137068886557776
PAC,2025-06-30 00:00:00+00:00,2366.959375,1271.057184375,151444.67479579433,0.0083928813349751
NaClO,2025-07-31 00:00:00+00:00,50842.11555233473,32538.953953494227,39733.40540879501,0.8189319193439107
PAM,2025-07-31 00:00:00+00:00,1670.7241964606667,5429.853638497167,39733.40540879501,0.1366571423373458
PAC,2025-07-31 00:00:00+00:00,1907.4694444444444,1024.3110916666667,39733.40540879501,0.0257795948051292
O3,2025-07-31 00:00:00+00:00,2643.881161203413,740.2867251369556,39733.40540879501,0.0186313435136141
PAM,2025-08-31 00:00:00+00:00,0.0,0.0,14667.31313008996,0.0
O3,2025-08-31 00:00:00+00:00,1077.8476016276263,301.79732845573545,14667.31313008996,0.0205761836390196
NaClO,2025-08-31 00:00:00+00:00,21163.80369395973,13544.834364134224,14667.31313008996,0.923470730051234
PAC,2025-08-31 00:00:00+00:00,1528.2708333333333,820.6814375,14667.31313008996,0.0559530863097463
NaClO,2025-09-30 00:00:00+00:00,60454.82476307964,38691.087848370975,40895.54652713541,0.9460953852933176
PAC,2025-09-30 00:00:00+00:00,2472.25,1327.59825,40895.54652713541,0.0324631497250953
O3,2025-09-30 00:00:00+00:00,3131.644388444419,876.8604287644373,40895.54652713541,0.021441464981587
PAM,2025-09-30 00:00:00+00:00,0.0,0.0,40895.54652713541,0.0
PAM,2025-10-31 00:00:00+00:00,0.0,0.0,18773.785921918006,0.0
NaClO,2025-10-31 00:00:00+00:00,26829.941959528504,17171.162854098242,18773.785921918006,0.9146350621827036
PAC,2025-10-31 00:00:00+00:00,2268.30827991453,1218.0815463141023,18773.785921918006,0.0648820409149343
O3,2025-10-31 00:00:00+00:00,1373.3625768059344,384.5415215056617,18773.785921918006,0.020482896902362
O3,2025-11-30 00:00:00+00:00,2943.5678887671,824.199008854788,38430.80418357006,0.021446311789831
PAM,2025-11-30 00:00:00+00:00,0.0,0.0,38430.80418357006,0.0
NaClO,2025-11-30 00:00:00+00:00,57076.29010046657,36528.8256642986,38430.80418357006,0.950509010683555
PAC,2025-11-30 00:00:00+00:00,2007.0381944444443,1077.7795104166669,38430.80418357006,0.0280446775266139
NaClO,2025-12-31 00:00:00+00:00,139570.53177263666,89325.14033448746,92758.15982578616,0.9629895688126366
O3,2025-12-31 00:00:00+00:00,7290.350121453699,2041.298034007036,92758.15982578616,0.0220066680693202
PAC,2025-12-31 00:00:00+00:00,2591.6600694444446,1391.7214572916666,92758.15982578616,0.0150037631180429
PAM,2025-12-31 00:00:00+00:00,0.0,0.0,92758.15982578616,0.0
NaClO,2026-01-31 00:00:00+00:00,28452.275282828057,18209.456181009955,19616.92003869773,0.9282525567259634
PAC,2026-01-31 00:00:00+00:00,1871.7871527777777,1005.1497010416666,19616.92003869773,0.0512389151334071
O3,2026-01-31 00:00:00+00:00,1436.836273736111,402.3141566461111,19616.92003869773,0.0205085281406294
PAM,2026-01-31 00:00:00+00:00,0.0,0.0,19616.92003869773,0.0
PAM,2026-02-28 00:00:00+00:00,0.0,0.0,2786.5995840507976,0.0
O3,2026-02-28 00:00:00+00:00,0.0,0.0,2786.5995840507976,0.0
NaClO,2026-02-28 00:00:00+00:00,3556.018144024684,2275.851612175797,2786.5995840507976,0.8167128227541968
PAC,2026-02-28 00:00:00+00:00,951.1135416666668,510.747971875,2786.5995840507976,0.1832871772458032
NaClO,2026-03-31 00:00:00+00:00,33261.2347650336,21287.190249621504,21538.99253295484,0.98830946791276
PAC,2026-03-31 00:00:00+00:00,468.9055555555556,251.80228333333332,21538.99253295484,0.01169053208724
O3,2026-03-31 00:00:00+00:00,0.0,0.0,21538.99253295484,0.0
PAM,2026-03-31 00:00:00+00:00,0.0,0.0,21538.99253295484,0.0
PAC,2026-04-30 00:00:00+00:00,1267.0902777777778,680.4274791666667,1099.8968351954668,0.6186284544093131
NaClO,2026-04-30 00:00:00+00:00,655.420868795,419.4693560288,1099.8968351954668,0.3813715455906867
O3,2026-04-30 00:00:00+00:00,0.0,0.0,1099.8968351954668,0.0
PAM,2026-04-30 00:00:00+00:00,0.0,0.0,1099.8968351954668,0.0
O3,2026-05-31 00:00:00+00:00,0.0,0.0,762.6638883021333,0.0
PAC,2026-05-31 00:00:00+00:00,1160.6041666666667,623.2444375,762.6638883021333,0.8171941100915198
NaClO,2026-05-31 00:00:00+00:00,217.84289187833332,139.41945080213333,762.6638883021333,0.1828058899084803
PAM,2026-05-31 00:00:00+00:00,0.0,0.0,762.6638883021333,0.0
