chemical_type,period_start,total_chemical_kg,total_carbon_kg,plant_total_carbon_kg,chemical_share_of_total
PAC,2026-05-10 02:00:00+00:00,5.0,2.685,3.224727243733333,0.8326285595837
NaClO,2026-05-10 02:00:00+00:00,0.8433238183333334,0.5397272437333334,3.224727243733333,0.1673714404163001
O3,2026-05-10 02:00:00+00:00,0.0,0.0,3.224727243733333,0.0
PAM,2026-05-10 02:00:00+00:00,0.0,0.0,3.224727243733333,0.0
PAC,2026-05-10 03:00:00+00:00,5.0,2.685,3.2714089792,0.8207472734444221
NaClO,2026-05-10 03:00:00+00:00,0.91626403,0.5864089792,3.2714089792,0.1792527265555779
O3,2026-05-10 03:00:00+00:00,0.0,0.0,3.2714089792,0.0
PAM,2026-05-10 03:00:00+00:00,0.0,0.0,3.2714089792,0.0
PAM,2026-05-10 04:00:00+00:00,0.0,0.0,2.5160121496000003,0.0
O3,2026-05-10 04:00:00+00:00,0.0,0.0,2.5160121496000003,0.0
PAC,2026-05-10 04:00:00+00:00,3.604166666666667,1.9354375000000004,2.5160121496000003,0.769248073904452
NaClO,2026-05-10 04:00:00+00:00,0.90714789,0.5805746496,2.5160121496000003,0.2307519260955479
NaClO,2026-05-10 05:00:00+00:00,0.8478841066666667,0.5426458282666667,0.8670833282666668,0.6258289262133973
PAC,2026-05-10 05:00:00+00:00,0.6041666666666666,0.3244375,0.8670833282666668,0.3741710737866027
O3,2026-05-10 05:00:00+00:00,0.0,0.0,0.8670833282666668,0.0
PAM,2026-05-10 05:00:00+00:00,0.0,0.0,0.8670833282666668,0.0
PAM,2026-05-10 06:00:00+00:00,0.0,0.0,2.8939712864,0.0
PAC,2026-05-10 06:00:00+00:00,4.416666666666667,2.3717500000000005,2.8939712864,0.8195485598443428
NaClO,2026-05-10 06:00:00+00:00,0.8159707599999999,0.5222212864,2.8939712864,0.1804514401556572
O3,2026-05-10 06:00:00+00:00,0.0,0.0,2.8939712864,0.0
