chemical_type,period_start,total_chemical_kg,total_carbon_kg,plant_total_carbon_kg,chemical_share_of_total
PAC,2026-05-05 00:00:00+00:00,118.58333333333331,63.67925,77.74724523946668,0.8190547434042671
NaClO,2026-05-05 00:00:00+00:00,21.981242561666665,14.067995239466669,77.74724523946668,0.1809452565957328
O3,2026-05-05 00:00:00+00:00,0.0,0.0,77.74724523946668,0.0
PAM,2026-05-05 00:00:00+00:00,0.0,0.0,77.74724523946668,0.0
PAC,2026-05-06 00:00:00+00:00,119.4375,64.1379375,77.90249971653334,0.8233103909807907
NaClO,2026-05-06 00:00:00+00:00,21.50712846333333,13.764562216533331,77.90249971653334,0.1766896090192092
O3,2026-05-06 00:00:00+00:00,0.0,0.0,77.90249971653334,0.0
PAM,2026-05-06 00:00:00+00:00,0.0,0.0,77.90249971653334,0.0
PAC,2026-05-07 00:00:00+00:00,118.70833333333331,63.746375,77.45258385333334,0.8230374227503133
NaClO,2026-05-07 00:00:00+00:00,21.41595133333333,13.706208853333331,77.45258385333334,0.1769625772496866
O3,2026-05-07 00:00:00+00:00,0.0,0.0,77.45258385333334,0.0
PAM,2026-05-07 00:00:00+00:00,0.0,0.0,77.45258385333334,0.0
PAM,2026-05-08 00:00:00+00:00,0.0,0.0,73.16643350026666,0.0
O3,2026-05-08 00:00:00+00:00,0.0,0.0,73.16643350026666,0.0
NaClO,2026-05-08 00:00:00+00:00,20.732122656666668,13.268558500266666,73.16643350026666,0.1813476189217055
PAC,2026-05-08 00:00:00+00:00,111.54166666666669,59.897875,73.16643350026666,0.8186523810782945
PAC,2026-05-09 00:00:00+00:00,118.0625,63.3995625,76.70896763173334,0.8264947952939541
NaClO,2026-05-09 00:00:00+00:00,20.795945518333333,13.309405131733334,76.70896763173334,0.1735052047060457
O3,2026-05-09 00:00:00+00:00,0.0,0.0,76.70896763173334,0.0
PAM,2026-05-09 00:00:00+00:00,0.0,0.0,76.70896763173334,0.0
PAC,2026-05-10 00:00:00+00:00,112.66666666666669,60.502,73.82891521920001,0.8194892180166532
NaClO,2026-05-10 00:00:00+00:00,20.82330503,13.3269152192,73.82891521920001,0.1805107819833467
O3,2026-05-10 00:00:00+00:00,0.0,0.0,73.82891521920001,0.0
PAM,2026-05-10 00:00:00+00:00,0.0,0.0,73.82891521920001,0.0
PAC,2026-05-11 00:00:00+00:00,8.416666666666668,4.51975,5.8005216416000005,0.7791971617837606
NaClO,2026-05-11 00:00:00+00:00,2.00120569,1.2807716416,5.8005216416000005,0.2208028382162393
O3,2026-05-11 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
PAM,2026-05-11 00:00:00+00:00,0.0,0.0,5.8005216416000005,0.0
